repository_path,source_path,source_commit,git_blob,git_mode,size,sha256
src/vehicle_serial_bridge/setup.py,src/vehicle_serial_bridge/setup.py,c28f7a6d3b95383ff9ee961d12dab2cc9e75ac3e,602c799bf5a8c41e8c7c42a9b569e6cb24cf94b8,100644,952,f1a096f6b08d58fd752af21109ca3ec873705a4ec4d0e07bbd860e87c3187991
src/vehicle_serial_bridge/vehicle_serial_bridge/__init__.py,src/vehicle_serial_bridge/vehicle_serial_bridge/__init__.py,c28f7a6d3b95383ff9ee961d12dab2cc9e75ac3e,e69de29bb2d1d6434b8b29ae775ad8c2e48c5391,100644,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
src/vehicle_serial_bridge/vehicle_serial_bridge/mcu_serial_bridge.py,src/vehicle_serial_bridge/vehicle_serial_bridge/mcu_serial_bridge.py,c28f7a6d3b95383ff9ee961d12dab2cc9e75ac3e,a32db641752007821f40dc28fbd58c69eadd0cc3,100644,17994,f256fe12d5634cca829bd0efa626faff4f798fde0c7b9b9eb3e7f18c9e21c393
src/yolopv2_ros/README.md,src/yolopv2_ros/README.md,c28f7a6d3b95383ff9ee961d12dab2cc9e75ac3e,306ebc2d95ae525b7ec8e13bb02f0c6de34d760c,100644,24412,d3572480ae486523ea61e9d2035686652379aea17d01d174942ebacbc630df74
src/yolopv2_ros/launch/full_perception.launch.py,src/yolopv2_ros/launch/full_perception.launch.py,c28f7a6d3b95383ff9ee961d12dab2cc9e75ac3e,11f6e491fb4de7b40ef239682e2318c3550acb89,100644,11419,76433077aa2048e4b5b9f72f1cd81e5fc544ff054e04e62864a0d34afb23d854
src/yolopv2_ros/launch/perception_planning_bridge.launch.py,src/yolopv2_ros/launch/perception_planning_bridge.launch.py,c28f7a6d3b95383ff9ee961d12dab2cc9e75ac3e,c9469e5e2197c006e2f291b2083cc1513ca1a4ad,100644,12179,217e10a9c1d793b53f65cfbe26ffe7013fc5832223db2e64385cf71a756c18cf
src/yolopv2_ros/launch/two_detectors.launch.py,src/yolopv2_ros/launch/two_detectors.launch.py,c28f7a6d3b95383ff9ee961d12dab2cc9e75ac3e,9d91c718d624b03750983f2fff2374408545de97,100644,2726,cc2c0a6657ae0c74b1009d7695d73552f28b6988b3553ea436f6b3deb31ff231
src/yolopv2_ros/package.xml,src/yolopv2_ros/package.xml,c28f7a6d3b95383ff9ee961d12dab2cc9e75ac3e,094d4945fa311cf97d424edb8a1b1b5a2d3ad3cb,100644,809,c2606d99deea51e05b5b3e0d1e8edad9f09ec580270e00a4a3edf9f3f66479c7
src/yolopv2_ros/resource/yolopv2_ros,src/yolopv2_ros/resource/yolopv2_ros,c28f7a6d3b95383ff9ee961d12dab2cc9e75ac3e,e69de29bb2d1d6434b8b29ae775ad8c2e48c5391,100644,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
src/yolopv2_ros/setup.cfg,src/yolopv2_ros/setup.cfg,c28f7a6d3b95383ff9ee961d12dab2cc9e75ac3e,bafa02de3628a2c04b9378d769ab4ed1af5b36fe,100644,91,5a1d9fee07760d016d38468cf2988d1ddd7a139bd306b31053bb22cb61fecdf0
src/yolopv2_ros/setup.py,src/yolopv2_ros/setup.py,c28f7a6d3b95383ff9ee961d12dab2cc9e75ac3e,f87aaaadb7699ef99aee6fd623a2c82d83212136,100644,1575,852fbbba5f48287a7989de3d3968c820ce28ad800906de193281442c7230efe4
src/yolopv2_ros/test/test_copyright.py,src/yolopv2_ros/test/test_copyright.py,c28f7a6d3b95383ff9ee961d12dab2cc9e75ac3e,97a39196e84db97954341162a6d2e7f771d938c0,100644,962,ea71bbbc6247b5c14d176ed09f39ee274d563cc9b2ec355828ea451ceff31757
src/yolopv2_ros/test/test_flake8.py,src/yolopv2_ros/test/test_flake8.py,c28f7a6d3b95383ff9ee961d12dab2cc9e75ac3e,27ee1078ff077cc3a0fec75b7d023101a68164d1,100644,884,37a813a0507f0ce51a2d0b57312d2cc078a0307a3ca85580ea801b0d2f9755d2
src/yolopv2_ros/test/test_pep257.py,src/yolopv2_ros/test/test_pep257.py,c28f7a6d3b95383ff9ee961d12dab2cc9e75ac3e,b234a3840f4c5bd38f043638c8622b8f240e1185,100644,803,e8b88d49ee296987b1b40069f81019b5fa09b1aa1bfee9a1faae45bb5cf53eda
src/yolopv2_ros/yolopv2_ros/__init__.py,src/yolopv2_ros/yolopv2_ros/__init__.py,c28f7a6d3b95383ff9ee961d12dab2cc9e75ac3e,e69de29bb2d1d6434b8b29ae775ad8c2e48c5391,100644,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
src/yolopv2_ros/yolopv2_ros/fusion_visualizer_node.py,src/yolopv2_ros/yolopv2_ros/fusion_visualizer_node.py,c28f7a6d3b95383ff9ee961d12dab2cc9e75ac3e,c8eeec9f28f12dd8a69c098caad63a2f56c85198,100644,25688,3255661e166bd4d3ff774f4432658625777f50a5d7649df3f0f2d40db2858049
src/yolopv2_ros/yolopv2_ros/image_resize_node.py,src/yolopv2_ros/yolopv2_ros/image_resize_node.py,c28f7a6d3b95383ff9ee961d12dab2cc9e75ac3e,dbb8dac788cadebcc00315cd7b6d0cb4be8bb57d,100644,4251,302dbe6550b49c58c07d3ba8723c177f7596eb46b6978cb2058063668e01d64f
src/yolopv2_ros/yolopv2_ros/masked_ray_ground_projection.py,src/yolopv2_ros/yolopv2_ros/masked_ray_ground_projection.py,c28f7a6d3b95383ff9ee961d12dab2cc9e75ac3e,94d8a87548c00819eebce7fe076b3a480147eea5,100644,17058,6b751fc8f191b20baeee01634ab4244dfa0481b7c2448e767383300d9ca5404d
src/yolopv2_ros/yolopv2_ros/pedestrian_detector_node.py,src/yolopv2_ros/yolopv2_ros/pedestrian_detector_node.py,c28f7a6d3b95383ff9ee961d12dab2cc9e75ac3e,d102f30859fda868c4c7a031230b4272e1dbe61b,100644,792,57d735da498cc435c816e4ccbe0f79358285d3a5a057ffd85cf7d7b3c3e93889
src/yolopv2_ros/yolopv2_ros/perception_inference_node.py,src/yolopv2_ros/yolopv2_ros/perception_inference_node.py,c28f7a6d3b95383ff9ee961d12dab2cc9e75ac3e,0b115bd0ebfa834033897ffac74146663b0bed91,100644,14825,80208f201774ccad26ce29f096609d6ba5b4967acd1b3df41e986a9038d81fc5
src/yolopv2_ros/yolopv2_ros/traffic_light_detector_node.py,src/yolopv2_ros/yolopv2_ros/traffic_light_detector_node.py,c28f7a6d3b95383ff9ee961d12dab2cc9e75ac3e,c4235628702dea2af4581e84f608f01f6595b3d4,100644,1103,7727f8889342a5ede442855816809d8708e5afd5f98ee31e444a882c4e9ea4c6
src/yolopv2_ros/yolopv2_ros/traffic_light_state_node.py,src/yolopv2_ros/yolopv2_ros/traffic_light_state_node.py,c28f7a6d3b95383ff9ee961d12dab2cc9e75ac3e,6b0a25d628a511aacebf5f886f3397e1d4a48e7a,100644,14041,da555519a20184a968ff94a52a83cb73ac6ef33adfd5d31248a47dc29edf34d7
src/yolopv2_ros/yolopv2_ros/video_to_topic.py,src/yolopv2_ros/yolopv2_ros/video_to_topic.py,c28f7a6d3b95383ff9ee961d12dab2cc9e75ac3e,a3b24a2a7b95edff9462f0f394f5911f20e04135,100644,4826,2ccb67a20f9dd193c21ba07caeee7d93ee1f598dc973089eda4d6e53b17f7b8c
src/yolopv2_ros/yolopv2_ros/yolo_detector_base.py,src/yolopv2_ros/yolopv2_ros/yolo_detector_base.py,c28f7a6d3b95383ff9ee961d12dab2cc9e75ac3e,1c327ebdc36d58e510324d81689622cb5aee2132,100644,9276,9658437322640a44dde3c853dec7d7b7944ce3db362aa3de58687706bbfd056d
